variables
record_id
redcap_repeat_instrument
redcap_repeat_instance
genomics_yn
lesion_tag_genomics
genomics_tissue_type
genomics_date
genomics_platform
genomics_platform_other
mmr
tmb_yn
tmb
tmb_abs
mutation_signature_number
mutation_signature_1
mutation_signature_2
mutation_signature_3
mutation_signature_4
mutation_signature_5
mutation_signature_6
mutation_signature_7
mutation_signature_8
mutation_signature_9
mutation_signature_10
variant_number
variant_gene_1
variant_nucleotide_1
variant_protein_1
variant_gene_perc_cfdna_1
variant_gene_2
variant_nucleotide_2
variant_protein_2
variant_gene_perc_cfdna_2
variant_gene_3
variant_nucleotide_3
variant_protein_3
variant_gene_perc_cfdna_3
variant_gene_4
variant_nucleotide_4
variant_protein_4
variant_gene_perc_cfdna_4
variant_gene_5
variant_nucleotide_5
variant_protein_5
variant_gene_perc_cfdna_5
variant_gene_6
variant_nucleotide_6
variant_protein_6
variant_gene_perc_cfdna_6
variant_gene_7
variant_nucleotide_7
variant_protein_7
variant_gene_perc_cfdna_7
variant_gene_8
variant_nucleotide_8
variant_protein_8
variant_gene_perc_cfdna_8
variant_gene_9
variant_nucleotide_9
variant_protein_9
variant_gene_perc_cfdna_9
variant_gene_10
variant_nucleotide_10
variant_protein_10
variant_gene_perc_cfdna_10
variant_gene_11
variant_nucleotide_11
variant_protein_11
variant_gene_perc_cfdna_11
variant_gene_12
variant_nucleotide_12
variant_protein_12
variant_gene_perc_cfdna_12
variant_gene_13
variant_nucleotide_13
variant_protein_13
variant_gene_perc_cfdna_13
variant_gene_14
variant_nucleotide_14
variant_protein_14
variant_gene_perc_cfdna_14
variant_gene_15
variant_nucleotide_15
variant_protein_15
variant_gene_perc_cfdna_15
variant_gene_16
variant_nucleotide_16
variant_protein_16
variant_gene_perc_cfdna_16
variant_gene_17
variant_nucleotide_17
variant_protein_17
variant_gene_perc_cfdna_17
variant_gene_18
variant_nucleotide_18
variant_protein_18
variant_gene_perc_cfdna_18
variant_gene_19
variant_nucleotide_19
variant_protein_19
variant_gene_perc_cfdna_19
variant_gene_20
variant_nucleotide_20
variant_protein_20
variant_gene_perc_cfdna_20
variant_gene_21
variant_nucleotide_21
variant_protein_21
variant_gene_perc_cfdna_21
variant_gene_22
variant_nucleotide_22
variant_protein_22
variant_gene_perc_cfdna_22
variant_gene_23
variant_nucleotide_23
variant_protein_23
variant_gene_perc_cfdna_23
variant_gene_24
variant_nucleotide_24
variant_protein_24
variant_gene_perc_cfdna_24
variant_gene_25
variant_nucleotide_25
variant_protein_25
variant_gene_perc_cfdna_25
variant_gene_26
variant_nucleotide_26
variant_protein_26
variant_gene_perc_cfdna_26
variant_gene_27
variant_nucleotide_27
variant_protein_27
variant_gene_perc_cfdna_27
variant_gene_28
variant_nucleotide_28
variant_protein_28
variant_gene_perc_cfdna_28
variant_gene_29
variant_nucleotide_29
variant_protein_29
variant_gene_perc_cfdna_29
variant_gene_30
variant_nucleotide_30
variant_protein_30
variant_gene_perc_cfdna_30
variant_gene_31
variant_nucleotide_31
variant_protein_31
variant_gene_perc_cfdna_31
variant_gene_32
variant_nucleotide_32
variant_protein_32
variant_gene_perc_cfdna_32
variant_gene_33
variant_nucleotide_33
variant_protein_33
variant_gene_perc_cfdna_33
variant_gene_34
variant_nucleotide_34
variant_protein_34
variant_gene_perc_cfdna_34
variant_gene_35
variant_nucleotide_35
variant_protein_35
variant_gene_perc_cfdna_35
variant_gene_36
variant_nucleotide_36
variant_protein_36
variant_gene_perc_cfdna_36
variant_gene_37
variant_nucleotide_37
variant_protein_37
variant_gene_perc_cfdna_37
variant_gene_38
variant_nucleotide_38
variant_protein_38
variant_gene_perc_cfdna_38
variant_gene_39
variant_nucleotide_39
variant_protein_39
variant_gene_perc_cfdna_39
variant_gene_40
variant_nucleotide_40
variant_protein_40
variant_gene_perc_cfdna_40
variant_gene_41
variant_nucleotide_41
variant_protein_41
variant_gene_42
variant_nucleotide_42
variant_protein_42
variant_gene_43
variant_nucleotide_43
variant_protein_43
variant_gene_44
variant_nucleotide_44
variant_protein_44
variant_gene_45
variant_nucleotide_45
variant_protein_45
variant_gene_46
variant_nucleotide_46
variant_protein_46
variant_gene_47
variant_nucleotide_47
variant_protein_47
variant_gene_48
variant_nucleotide_48
variant_protein_48
variant_gene_49
variant_nucleotide_49
variant_protein_49
variant_gene_50
variant_nucleotide_50
variant_protein_50
variant_gene_51
variant_nucleotide_51
variant_protein_51
variant_gene_52
variant_nucleotide_52
variant_protein_52
variant_gene_53
variant_nucleotide_53
variant_protein_53
variant_gene_54
variant_nucleotide_54
variant_protein_54
variant_gene_55
variant_nucleotide_55
variant_protein_55
variant_gene_56
variant_nucleotide_56
variant_protein_56
variant_gene_57
variant_nucleotide_57
variant_protein_57
variant_gene_58
variant_nucleotide_58
variant_protein_58
variant_gene_59
variant_nucleotide_59
variant_protein_59
variant_gene_60
variant_nucleotide_60
variant_protein_60
variant_gene_61
variant_nucleotide_61
variant_protein_61
variant_gene_62
variant_nucleotide_62
variant_protein_62
variant_gene_63
variant_nucleotide_63
variant_protein_63
variant_gene_64
variant_nucleotide_64
variant_protein_64
variant_gene_65
variant_nucleotide_65
variant_protein_65
variant_gene_66
variant_nucleotide_66
variant_protein_66
variant_gene_67
variant_nucleotide_67
variant_protein_67
variant_gene_68
variant_nucleotide_68
variant_protein_68
variant_gene_69
variant_nucleotide_69
variant_protein_69
variant_gene_70
variant_nucleotide_70
variant_protein_70
variant_gene_71
variant_nucleotide_71
variant_protein_71
variant_gene_72
variant_nucleotide_72
variant_protein_72
variant_gene_73
variant_nucleotide_73
variant_protein_73
variant_gene_74
variant_nucleotide_74
variant_protein_74
variant_gene_75
variant_nucleotide_75
variant_protein_75
variant_gene_76
variant_nucleotide_76
variant_protein_76
variant_gene_77
variant_nucleotide_77
variant_protein_77
variant_gene_78
variant_nucleotide_78
variant_protein_78
variant_gene_79
variant_nucleotide_79
variant_protein_79
variant_gene_80
variant_nucleotide_80
variant_protein_80
variant_gene_81
variant_nucleotide_81
variant_protein_81
variant_gene_82
variant_nucleotide_82
variant_protein_82
variant_gene_83
variant_nucleotide_83
variant_protein_83
variant_gene_84
variant_nucleotide_84
variant_protein_84
variant_gene_85
variant_nucleotide_85
variant_protein_85
variant_gene_86
variant_nucleotide_86
variant_protein_86
variant_gene_87
variant_nucleotide_87
variant_protein_87
variant_gene_88
variant_nucleotide_88
variant_protein_88
variant_gene_89
variant_nucleotide_89
variant_protein_89
variant_gene_90
variant_nucleotide_90
variant_protein_90
variant_gene_91
variant_nucleotide_91
variant_protein_91
variant_gene_92
variant_nucleotide_92
variant_protein_92
variant_gene_93
variant_nucleotide_93
variant_protein_93
variant_gene_94
variant_nucleotide_94
variant_protein_94
variant_gene_95
variant_nucleotide_95
variant_protein_95
variant_gene_96
variant_nucleotide_96
variant_protein_96
variant_gene_97
variant_nucleotide_97
variant_protein_97
variant_gene_98
variant_nucleotide_98
variant_protein_98
variant_gene_99
variant_nucleotide_99
variant_protein_99
variant_gene_100
variant_nucleotide_100
variant_protein_100
variant_gene_101
variant_nucleotide_101
variant_protein_101
variant_gene_102
variant_nucleotide_102
variant_protein_102
cnv_number
cnv_gene_1
cnv_gain_or_loss_1
cnv_gene_2
cnv_gain_or_loss_2
cnv_gene_3
cnv_gain_or_loss_3
cnv_gene_4
cnv_gain_or_loss_4
cnv_gene_5
cnv_gain_or_loss_5
cnv_gene_6
cnv_gain_or_loss_6
cnv_gene_7
cnv_gain_or_loss_7
cnv_gene_8
cnv_gain_or_loss_8
cnv_gene_9
cnv_gain_or_loss_9
cnv_gene_10
cnv_gain_or_loss_10
cnv_gene_11
cnv_gain_or_loss_11
cnv_gene_12
cnv_gain_or_loss_12
cnv_gene_13
cnv_gain_or_loss_13
cnv_gene_14
